,B,DC,NK,Megakaryocyte,Mono,T
0,PLPP5,HSPA5,CST7,CD48,TMEM119,CD3E
1,FCRLA,RGS1,CD3E,OST4,VCAN,CD40LG
2,CD3E,LYZ,CTSW,GP6,CTSW,CD101
3,CD40LG,CD14,CXXC5,CD9,CD34,JCHAIN
4,IGHA2,MS4A3,HIST1H4C,GP1BA,TNF,RUNX3
5,JCHAIN,CD44,CD34,CD79A,CCL2,TNFSF8
6,TNFRSF13C,CD34,CD27,NRGN,ALOX5AP,LTB
7,TERF2,AIF1,NCAM1,CCL5,OSM,NCAM1
8,MEF2B,PLD4,MZB1,MYL9,G0S2,IL2RG
9,CD27,CST3,CYBA,ITGA2B,CCL3,TNFSF14
10,MZB1,FCGR1A,PTCRA,SPARC,CD1C,SKAP1
11,VCAM1,HLA-DQB1,CCL3,GNG11,CXCL3,CCR8
12,B2M,CD4,NKG7,PPBP,TLR2,CD53
13,XAF1,UBE2C,TBX21,FLI1,THBS1,TRAT1
14,ITGB1,HLA-DQA1,CD1C,GP9,GATA2,IL2RA
15,IGHM,SIRPA,IRF4,SELP,FCER1G,KLRF1
16,SEL1L3,CD209,CPVL,GMFG,TYROBP,TNFRSF18
17,NFKBIA,MRC1,KLRF1,PF4,FPR1,CCR4
18,SSR4,MZB1,FOS,TUBB1,FTL,KLRD1
19,FOXP3,IRF7,FCER1G,CXCR4,OAZ1,IL13
20,BLNK,CYBA,TYROBP,,C3,IL32
21,SPIB,CD1E,CD68,,PSAP,SNAP47
22,CD24,CCL17,LGALS2,,TUBB,TRGV9
23,AICDA,PTCRA,TNFRSF18,,CLEC12A,CCR2
24,VPREB3,HLA-DPB1,ATP1B1,,IL32,PRF1
25,ZCCHC7,HPGD,NRP1,,PRF1,TRAV1-2
26,HMGB2,CD40,KIR2DL3,,INSIG1,HLA-B
27,GZMB,CSF1R,KLRD1,,MPO,ID2
28,IGKC,C1QA,HMGB2,,LYZ,CD52
29,JUNB,FCER1A,TMIGD2,,CST3,TCF7
30,TNFRSF17,HLA-DRB1,GZMB,,MPEG1,CCL4
31,CD52,CD1C,CLEC12A,,CD4,PDCD1
32,CR2,SIGLEC6,CCR2,,C15orf48,GATA3
33,CD37,CD74,PRF1,,ZFP36L2,CD2
34,ADAM28,HLA-DPA1,CLEC4C,,MRC1,CD44
35,IGHG3,IRF4,ID2,,S100A6,CCR6
36,ITGA1,LAMP3,CD52,,CCL17,CD4
37,CD81,CPVL,KLRC2,,PTPRC,CTLA4
38,CD2,LILRA4,CCL4,,C1QA,CRTAM
39,CR1,TOP2A,FASLG,,CXCR2,PTPRC
40,BCL2A1,HLA-DRA,LYZ,,STAB1,CCL5
41,CTLA4,CLEC10A,CD2,,CXCR3,CXCR3
42,ITGAX,CD68,CD44,,MSR1,MAGEH1
43,HLA-DPB1,TYROBP,CD3G,,FBP1,CD19
44,PTPRC,LGALS2,CCR6,,KCNA5,CFD
45,CXCR3,UBC,CST3,,CD38,LCK
46,EIF4EBP1,ATP1B1,CD4,,VIM,VIM
47,CD19,NRP1,TESC,,LGALS1,ITGAE
48,CD38,IFI6,MRC1,,IFI44L,LAYN
49,IFI44L,IRF8,PRSS23,,IL1RN,TRBC2
50,VIM,CD83,CCL17,,MS4A6A,RPF1
51,IGHD,CCR7,CASP5,,INHBA,RCAN3
52,PTPRCAP,NR4A3,PTPRC,,CFP,FCGR3A
53,CALR,ISG15,HLA-DPB1,,ISG15,GZMH
54,RALY,IL3RA,C1QA,,EREG,GZMK
55,ITM2C,GZMB,CCL5,,ALDH2,CXCR6
56,CDK1,CLEC12A,CXCR3,,FCGR3A,ZBTB16
57,FCGR2A,CD86,KLRC3,,GZMH,THEMIS
58,IL4R,CCR2,SAMD3,,CD80,KLRG1
59,IGHG2,CLEC4C,TOP2A,,CCL20,TNFRSF9
60,TCF4,CIITA,CD38,,CEBPA,IGHV4-34
61,HMGB1,TCF4,HOPX,,APOBEC3A,GBP5
62,BANK1,PPT1,IFI6,,SELL,ENTPD1
63,SELL,CD1A,TP53TG5,,APOBEC3B,GATA1
64,LAPTM5,ID2,KLRC1,,LAPTM5,ICOS
65,TCL1A,CD80,FGFBP2,,AIF1,LAPTM5
66,PAX5,CD52,ISG15,,FGL2,TNFRSF4
67,HLA-DQA1,HLA-DQA2,NR4A3,,CXCL17,HAVCR2
68,IGLL5,REL,CD79B,,TIMP1,CD69
69,CD69,CD207,IL3RA,,CEBPB,CD79A
70,CD40,IL5RA,TCF4,,F5,TRGC1
71,CD22,CCL20,FCGR3A,,HLA-DRA,TRDC
72,IGHG4,LILRB4,PPT1,,CREG1,IGLV3-19
73,BACH2,IFITM3,GZMK,,PLAC8,GZMA
74,LILRA4,THBD,CXCR6,,GNLY,HCST
75,HLA-DRA,,CD80,,FGD2,SLAMF7
76,IGLL1,,CCL20,,CD63,GNLY
77,ARPP21,,DOCK2,,CD33,TRGC2
78,XBP1,,ZBTB16,,IFI44,CXCR5
79,CD83,,CD207,,CX3CR1,HHLA2
80,RPS4Y2,,HLA-DQA2,,FABP4,NR3C1
81,EOMES,,KLRG1,,S100A9,CX3CR1
82,MME,,LILRB4,,FCN1,ETS1
83,IAPP,,CHST12,,SERPING1,RPS15A
84,CXCR4,,HSPA5,,OLR1,MYC
85,DERL3,,SELL,,CD93,LYVE1
86,LAG3,,RGS1,,NUPR1,CXCR4
87,IL7R,,STMN1,,CD163,TRBC1
88,CD14,,NCR3,,IL6,CAMK4
89,HLA-A,,MS4A3,,FCGR1A,CD8A
90,MKI67,,IL2RB,,VEGFA,IL7R
91,BLK,,AIF1,,MNDA,LAG3
92,AHNAK,,PLD4,,HDC,PHLDA1
93,IGHA1,,L1TD1,,S100A8,TRAC
94,IGHG1,,SIRPA,,MT-CO3,CD7
95,CD72,,HLA-DQA1,,CLU,TXNIP
96,PMAIP1,,CD69,,NLRP3,KLRB1
97,MX1,,CD40,,STX11,TRABD2A
98,PPY,,CD1E,,CXCL10,GIMAP7
99,BCL11A,,HPGD,,SOD2,MKI67
100,FCER2,,CLIC3,,CLEC10A,RPS12
101,RALGPS2,,PTGDR,,IL1R2,CD177
102,FCRL1,,NCR1,,MARCO,IGHA1
103,CDC20,,KLRK1,,CD300E,TIGIT
104,BCL11B,,FCER1A,,CSF3R,CD28
105,CCR7,,XCL2,,S100A12,RPL28
106,TNFRSF13B,,SIGLEC6,,MS4A7,LEF1
107,CCDC50,,HLA-DRB1,,IFITM1,IGHG1
108,AIM2,,TRGC1,,CD14,MT-CO3
109,MS4A1,,TRDC,,MCEMP1,CD1B
110,SWAP70,,LAMP3,,,CD247
111,RAG1,,GZMA,,,CD5
112,YBX3,,LILRA4,,,CD96
113,,,CD8B,,,CD3D
114,,,HLA-DRA,,,CD274
115,,,GNLY,,,BCL11B
116,,,TRGC2,,,SOCS1
117,,,UBC,,,CCR7
118,,,CHST2,,,BST2
119,,,CXCR5,,,NELL2
120,,,CD83,,,IFNG
121,,,CX3CR1,,,IFITM1
122,,,EOMES,,,LAT
123,,,ZFP36,,,RAG1
124,,,CD86,,,CD70
125,,,CIITA,,,
126,,,CD1A,,,
127,,,XCL1,,,
128,,,IL5RA,,,
129,,,CXCR4,,,
130,,,IL18RAP,,,
131,,,THBD,,,
132,,,GSG1,,,
133,,,NMUR1,,,
134,,,CD8A,,,
135,,,LAG3,,,
136,,,IL7R,,,
137,,,CD7,,,
138,,,TRAC,,,
139,,,KLRB1,,,
140,,,MKI67,,,
141,,,CD9,,,
142,,,FCGR1A,,,
143,,,HLA-DQB1,,,
144,,,UBE2C,,,
145,,,CD160,,,
146,,,CD209,,,
147,,,TIGIT,,,
148,,,IRF7,,,
149,,,CSF1R,,,
150,,,CD74,,,
151,,,HLA-DPA1,,,
152,,,CD247,,,
153,,,CD96,,,
154,,,CLEC10A,,,
155,,,CD3D,,,
156,,,IRF8,,,
157,,,CCR7,,,
158,,,SPON2,,,
159,,,IFNG,,,
160,,,KIR2DL1,,,
161,,,REL,,,
162,,,KIR2DL4,,,
163,,,CD14,,,
164,,,IFITM3,,,
