,classical monocyte,"CD16-positive, CD56-dim natural killer cell, human",non-classical monocyte,natural killer cell,platelet,"CD16-negative, CD56-bright natural killer cell, human",conventional dendritic cell,plasmacytoid dendritic cell,granulocyte,intermediate monocyte
0,HLA-DR,FCGR3A,CD14,CD94,NKG7,NCAM1,PPA1,CD19,FCGR3B,CD14
1,CD9,NCAM1,CD16,NKG7,PPBP,KLRD1,FCER1A,CD38,MPO,CD16
2,CD93,KLRD1,FCGR3A,NKp80,PF4,KLRK1,HLA-DQA1,CD27,AZU1,APOBEC3A
3,CD16,KLRK1,TNFRFA1,GNLY,GATA2,NCR1,CD1C,CD20,PRTN3,GBP4
4,CD11a,KIR2DL1,TNFRFB2,CD3,ARG1,NCR3,HLA-DQB1,MZB1,GATA2,MARCO
5,CD61,KIR2DL2,CSF1R,Vα24,ANXA1,NKG2A,CLEC9A,ITM2C,CD66b,MARCKSL1
6,CD14,KIR2DL3,FCN1,CD56,GP9,NKG2C,CDIC,CLEC4C,CD14,TNFRFB2
7,BASP1,KIR3DL1,CDKN1C,Vβ11,ITGA2B,FCER1G,CD370,LILRA4,CD15,HLA-DR
8,CXCL8,KIR2DS1,LYZ,KLRB1,ITGB3,PRF1,CD141,GZMB,CAMP,CCR2
9,S100A9,KIR2DS2,CX3CR1,CD45,GP1BA,GZMB,FLT3,ITM2C,LTF,CX3CR1
10,IFITM3,KIR3DS1,TREM1,TBX21,GP1BB,GZMA,XCR1,SERPINF1,CD16,TLR2
11,S100A8,NCR1,ITGAL,CD16,GP6,IFNG,CD11C,IL3RA,ELANE,TLR4
12,VNN2,NCR3,ITGAM,KLRF1,THBS1,TNF,HLA-DRA,CYTL1,IL8,FCGR3A
13,IFIT3,NKG2C,S100A8,TYROBP,F2R,LTA,HLA-DRB1,GATA2,CXCR2,S100A8
14,ALOX5AP,PRF1,S100A9,CD3E,TGFB1,IL2RA,HLA-DPA1,CLEC4C,CCR1,S100A9
15,S100A12,GZMB,TLR4,NCAM1,SERPINE1,IL2RB,HLA-DPB1,IL3RA,S100A8,TNF
16,HLA-DQA1,GZMA,TNF,GZMB,VWF,IL2RG,CCR7,IRF8,S100A9,IL1B
17,IFI6,IFNG,CCL2,CD247,GP5,STAT1,CD80,JCHAIN,LTC4S,IL6
18,HLA-DRB1,TNF,CCR2,CD69,CD36,STAT4,CD86,MPEG1,PTGS2,CCL2
19,HLA-DRA,LTA,STAT3,CD7,MPL,TYROBP,IRF8,IL3RA,NCF1,CD36
20,GPR183,STAT1,NFKB1,CCL5,PDGFB,SH2D1B,IRF4,IL3RA,CTSC,CD86
21,ISG15,STAT4,IL1B,TRAC,PDGFA,SYK,BATF3,GZMB,TGFBR1,MMP9
22,CD74,TYROBP,IL6,STMN1,SELP,ZAP70,CSF1R,LILRA4,HLA-DR,
23,PLBD1,SH2D1B,CXCL10,IL2RB,SPP1,LILRB1,SIRPA,CD123,C3AR1,
24,QAS3,SYK,MMP9,SELL,F13A1,IL12RB1,CD40,CD45,TLR4,
25,IFIT2,ZAP70,VEGFA,CX3CR1,ITGB1,IL12RB2,CD83,HLA-DR,,
26,HLA-DPB1,LILRB1,CD36,TRGC2,BCL2L1,CXCR3,LAMP3,LILRA4,,
27,IFI44L,IL12RB1,HLA-DR,FOS,ANXA5,CCR7,TLR3,IL3RA,,
28,ITGA4,IL12RB2,IRF5,ZFP36,,ITGB2,TLR7,TCF4,,
29,MX1,CD3Z,MYD88,CD3D,,ITGAL,TLR8,CD303,,
30,CYP1B1,ITGB2,,SPON2,,SELL,CXCR4,CD123,,
31,HLA-DPA1,ITGAL,,TRGC1,,CX3CR1,IL12B,CD123,,
32,PADI4,CX3CR1,,FCER1G,,,CCL22,GATA2,,
33,EPSTI1,,,IL18RAP,,,CSF2RB,CD34,,
34,HLA-DQB1,,,CD160,,,ZBTB46,LILRA4,,
35,XAF1,,,ZBTB16,,,,CD2AP,,
36,CDKN1A,,,CD52,,,,CLEC4C,,
37,LYZ,,,CXXC5,,,,IL-3Rα,,
38,FCN1,,,TRDC,,,,IL3RA,,
39,FCGR3A,,,PRSS23,,,,CD123,,
40,VCAN,,,CD3G,,,,CLEC4A,,
41,CD68,,,CHST2,,,,LILRA4,,
42,CD11b,,,KLRD1,,,,CLEC4C,,
43,,,,KLRC1,,,,LILRA4,,
44,,,,FCGR3A,,,,GZMB,,
45,,,,CD38,,,,JCHAIN,,
46,,,,CD62L,,,,LILRA4,,
47,,,,KIR2DL1,,,,TCL1A,,
48,,,,CD57,,,,IL3RA,,
49,,,,NKG2C,,,,,,
50,,,,CD49e,,,,,,
51,,,,NKp46,,,,,,
52,,,,KIR2DS1,,,,,,
53,,,,NKG2D,,,,,,
54,,,,NCAM1 (CD56),,,,,,
55,,,,KLRK1,,,,,,
56,,,,KIR2DL2,,,,,,
57,,,,KIR2DL3,,,,,,
58,,,,KIR3DL1,,,,,,
59,,,,KIR2DS2,,,,,,
60,,,,KIR3DS1,,,,,,
61,,,,NCR1,,,,,,
62,,,,NCR2,,,,,,
63,,,,NCR3,,,,,,
64,,,,NKG2A,,,,,,
65,,,,PRF1,,,,,,
66,,,,GZMA,,,,,,
67,,,,IFNG,,,,,,
68,,,,TNF,,,,,,
69,,,,LTA,,,,,,
70,,,,IL2,,,,,,
71,,,,IL12RB1,,,,,,
72,,,,IL12RB2,,,,,,
73,,,,CD3Z,,,,,,
74,,,,ITGB2,,,,,,
75,,,,ITGAL,,,,,,
76,,,,CD226,,,,,,
77,,,,CD161,,,,,,
78,,,,LILRB1,,,,,,
79,,,,SH2D1A,,,,,,
80,,,,SYK,,,,,,
81,,,,ZAP70,,,,,,
82,,,,STAT1,,,,,,
83,,,,STAT3,,,,,,
84,,,,STAT5A,,,,,,
85,,,,STAT5B,,,,,,
86,,,,IRF1,,,,,,
87,,,,IRF2,,,,,,
88,,,,IRF4,,,,,,
89,,,,BATF3,,,,,,
90,,,,CXCL10,,,,,,
91,,,,CCL2,,,,,,
92,,,,PDCD1 (PD-1),,,,,,
93,,,,CTLA4,,,,,,
94,,,,CD40LG,,,,,,
95,,,,TLR3,,,,,,
96,,,,TLR7,,,,,,
97,,,,TLR8,,,,,,
98,,,,FASLG,,,,,,
99,,,,XCL1,,,,,,
100,,,,CCL4,,,,,,
101,,,,IL15,,,,,,
102,,,,IL18,,,,,,
103,,,,IL2RA,,,,,,
104,,,,IL2RG,,,,,,
105,,,,LAG3,,,,,,
106,,,,KLRG1,,,,,,
107,,,,TGFBR1,,,,,,
108,,,,TGFBR2,,,,,,
109,,,,CD44,,,,,,
110,,,,S100A8,,,,,,
111,,,,S100A9,,,,,,
112,,,,MMP9,,,,,,
113,,,,HLA-A,,,,,,
114,,,,HLA-B,,,,,,
115,,,,HLA-C,,,,,,
116,,,,HLA-E,,,,,,
117,,,,HLA-F,,,,,,
118,,,,HLA-G,,,,,,
119,,,,TAP1,,,,,,
120,,,,TAP2,,,,,,
121,,,,BCL2,,,,,,
122,,,,BCL2L1,,,,,,
123,,,,MYC,,,,,,
124,,,,FOXP3,,,,,,
125,,,,GZMK,,,,,,
126,,,,GZMM,,,,,,
127,,,,IL10,,,,,,
128,,,,TGFB1,,,,,,
129,,,,TGFB2,,,,,,
130,,,,IFNA,,,,,,
131,,,,CCL22,,,,,,
132,,,,SIRPA,,,,,,
133,,,,HLA-DR,,,,,,
134,,,,CCL3,,,,,,
135,,,,CXCL9,,,,,,
136,,,,BIRC3,,,,,,
137,,,,NFKB1,,,,,,
138,,,,NFKB2,,,,,,
139,,,,IL1B,,,,,,
140,,,,CXCL1,,,,,,